date,close,date,high,low,open,quoteVolume,volume,weightedAverage
2016-07-28 00:00:00,1.5899,1469664000,1.8,1.0,1.0,152.31961163,219.0262509,1.43793861
2016-07-28 04:00:00,1.525,1469678400,1.69999999,1.31200406,1.51,4462.7913046,6355.50391496,1.42410959
2016-07-28 08:00:00,1.75000004,1469692800,1.75000004,1.4000001,1.533,9099.86956106,14188.20551423,1.55916581
2016-07-28 12:00:00,1.8,1469707200,2.09999994,1.62012067,1.97999999,13738.70004797,24548.37700275,1.78680493
2016-07-28 16:00:00,1.87003076,1469721600,1.96498363,1.75000424,1.83979998,9824.09234799,18335.16164843,1.86634663
2016-07-28 20:00:00,1.6801228,1469736000,1.91,1.64000145,1.90999671,7583.52731603,13162.9294373,1.73572651
2016-07-29 00:00:00,1.580004,1469750400,1.74000001,1.57100713,1.68013468,2486.9329681,4203.10559958,1.69007595
2016-07-29 04:00:00,1.75000515,1469764800,1.83999493,1.58011498,1.58011498,5414.43767608,9171.98900986,1.69398736
2016-07-29 08:00:00,1.67,1469779200,1.79997684,1.65,1.79997684,8183.34999898,13945.22520984,1.70409736
2016-07-29 12:00:00,1.68491563,1469793600,1.68993604,1.55000007,1.66001964,12416.26259428,20136.40466744,1.62177664
2016-07-29 16:00:00,1.63,1469808000,1.68,1.59196622,1.68,1798.56375216,2878.56898158,1.60048203
2016-07-29 20:00:00,1.63004163,1469822400,1.68480001,1.6000718,1.64000665,7685.91160301,12827.83523363,1.66900634
2016-07-30 00:00:00,1.68480001,1469836800,1.68480001,1.63004164,1.63004169,501.58752094,827.60308944,1.64996746
2016-07-30 04:00:00,1.6003299,1469851200,1.72062496,1.6003299,1.679,2333.00526238,3811.6991263,1.63381505
2016-07-30 08:00:00,1.64999073,1469865600,1.67500167,1.59600892,1.67500167,3352.00021926,5425.89664461,1.61870414
2016-07-30 12:00:00,1.635,1469880000,1.64998898,1.61020321,1.61020321,717.57579546,1175.18267489,1.63771225
2016-07-30 16:00:00,1.60000674,1469894400,1.64179685,1.56,1.636,5532.82032619,8817.11831502,1.59360286
2016-07-30 20:00:00,1.58155738,1469908800,1.61,1.55003013,1.61,4271.35317838,6766.79059787,1.58422643
2016-07-31 00:00:00,1.60936814,1469923200,1.60997056,1.55006206,1.55006206,2424.78056053,3790.43276141,1.56320651
2016-07-31 04:00:00,1.65001475,1469937600,1.6996,1.57000371,1.60936859,2150.09671425,3516.62435023,1.63556565
2016-07-31 08:00:00,1.79099563,1469952000,1.89999819,1.62986181,1.6403358,9680.27458414,17244.97357567,1.781455
2016-07-31 12:00:00,1.91008873,1469966400,1.91008873,1.67008642,1.79099563,17143.34938166,30777.62846793,1.79531011
2016-07-31 16:00:00,1.8999838,1469980800,1.94999714,1.800003,1.91008873,5960.48524994,11172.59068016,1.87444313
2016-07-31 20:00:00,1.82999983,1469995200,1.9,1.75000071,1.87985143,6447.21663088,11956.20772627,1.85447587
2016-08-01 00:00:00,1.8,1470009600,1.84999983,1.77004935,1.82999635,8124.19992498,15008.55775352,1.84738902
2016-08-01 04:00:00,1.90999902,1470024000,1.93999935,1.77003542,1.77115886,7662.40465086,14406.56247981,1.88016205
2016-08-01 08:00:00,2.1359154,1470038400,2.3,1.91140004,1.91140004,63996.15637658,137186.35277511,2.1436655
2016-08-01 12:00:00,2.159876,1470052800,2.22199999,2.09,2.1309154,10670.51793286,23166.43127584,2.17106905
2016-08-01 16:00:00,2.16500033,1470067200,2.1775999,2.00010122,2.1775989,17386.5118993,36355.7034599,2.09102916
2016-08-01 20:00:00,2.38102408,1470081600,2.39,2.08499137,2.15999878,39465.26722678,89331.2999397,2.26354225
2016-08-02 00:00:00,2.48053127,1470096000,2.6,2.28683736,2.33600229,79883.89305607,198757.28553796,2.4880771
2016-08-02 04:00:00,2.75,1470110400,2.96939962,2.356,2.52999858,142159.75444914,380016.64306561,2.67316614
2016-08-02 08:00:00,2.60000017,1470124800,2.83,2.37000001,2.67531133,121159.65221726,312057.76027265,2.57559141
2016-08-02 12:00:00,2.78,1470139200,2.8,2.55502961,2.65,52644.11008989,142509.65119599,2.70703884
2016-08-02 16:00:00,3.02899998,1470153600,3.5000062,2.73895224,2.78155937,160632.61651674,496818.84532719,3.09288895
2016-08-02 20:00:00,2.70000006,1470168000,3.49116147,2.15,3.02899998,226927.48233011,661482.34144492,2.91495033
2016-08-03 00:00:00,2.75599873,1470182400,2.87,2.35999999,2.70000001,79017.34931517,205283.6475894,2.59795664
2016-08-03 04:00:00,2.58006586,1470196800,2.75599834,2.55,2.75599834,47211.42766192,124139.74574089,2.62944274
2016-08-03 08:00:00,2.825,1470211200,2.85999988,2.58006716,2.58006716,64169.31517478,179262.17463038,2.79358092
2016-08-03 12:00:00,3.05000008,1470225600,3.38,2.73500789,2.77000461,86329.00790442,263758.59765878,3.05527196
2016-08-03 16:00:00,2.75,1470240000,3.17999999,2.58500001,3.09999983,98855.29487536,282396.78706808,2.85666829
2016-08-03 20:00:00,2.69898992,1470254400,2.97489989,2.36999999,2.74999999,68249.87708618,177779.80396526,2.60483698
2016-08-04 00:00:00,2.65,1470268800,2.71326046,2.50000127,2.58999957,12226.12509429,31787.78436758,2.59998847
2016-08-04 04:00:00,2.78934453,1470283200,2.79999995,2.55010025,2.63409804,12223.1826657,33270.69373538,2.72193377
2016-08-04 08:00:00,2.41100034,1470297600,2.77776989,2.4,2.73510298,21622.69672013,55074.94542499,2.54708957
2016-08-04 12:00:00,2.12000704,1470312000,2.59999991,2.10000003,2.435,63621.29961476,150559.72474879,2.36649873
2016-08-04 16:00:00,2.36999952,1470326400,2.64,2.11230881,2.11721896,37955.26118318,92645.68585853,2.44091814
2016-08-04 20:00:00,2.36,1470340800,2.50999999,2.26000001,2.31001901,27698.44428711,65215.6692123,2.35448852
2016-08-05 00:00:00,2.49000186,1470355200,2.49999997,2.27722773,2.37999839,11705.84903402,28356.88851759,2.42245465
2016-08-05 04:00:00,2.49995671,1470369600,2.56999986,2.41485208,2.4500105,16592.95767029,41064.18600764,2.47479604
2016-08-05 08:00:00,2.3434,1470384000,2.53000001,2.3434,2.45902241,3869.96322517,9434.61024629,2.43790695
2016-08-05 12:00:00,2.5555,1470398400,2.62,2.36,2.39999677,16522.17784515,41712.11272571,2.52461346
2016-08-05 16:00:00,2.52,1470412800,2.60999979,2.46102853,2.57299772,11483.05645492,29236.1110107,2.5460217
2016-08-05 20:00:00,2.58000537,1470427200,2.67999987,2.49251193,2.52000414,9884.06691374,25452.46835081,2.57510077
2016-08-06 00:00:00,2.63000997,1470441600,2.7,2.53807354,2.58999999,13476.84314167,35685.92518901,2.64794394
2016-08-06 04:00:00,2.7,1470456000,2.7,2.57999999,2.60000003,6747.91781155,17656.62983661,2.61660416
2016-08-06 08:00:00,2.78000003,1470470400,2.80000068,2.62550017,2.67000748,15461.436807,42651.26827121,2.75855787
2016-08-06 12:00:00,2.689,1470484800,2.847,2.65,2.80514851,14892.47751009,40799.26766028,2.739589
2016-08-06 16:00:00,2.60301103,1470499200,2.72789928,2.55000006,2.67100002,31894.9577124,83926.16153414,2.63133007
2016-08-06 20:00:00,2.67698185,1470513600,2.67699951,2.574,2.64,5285.79463601,13878.10252846,2.62554705
2016-08-07 00:00:00,2.63200284,1470528000,2.7438948,2.63200284,2.68,1915.7686971,5153.71602281,2.69015566
2016-08-07 04:00:00,2.452,1470542400,2.69999998,2.35,2.69999998,27247.26028288,67611.92773246,2.48142114
2016-08-07 08:00:00,2.269,1470556800,2.48459937,2.22,2.45993597,43092.38006026,100762.97321162,2.33830141
2016-08-07 12:00:00,2.31,1470571200,2.39,2.1015,2.3199984,48663.28445939,107587.77279775,2.2108613
2016-08-07 16:00:00,2.21,1470585600,2.34319998,2.17549019,2.31999999,27468.72924949,61770.58252022,2.2487601
2016-08-07 20:00:00,2.17,1470600000,2.31999997,2.11667239,2.21000001,9635.58753594,21249.63967899,2.2053289
2016-08-08 00:00:00,2.17002133,1470614400,2.24724995,2.1,2.2019699,18364.29595424,38987.40279719,2.12300013
